1,Top nacional,1,00707,707
2,Distribución,1,00708,708
3,Especial,1,00709,709
4,Captación,1,03545,3545
5,Internacional,1,05010,5010
6,Mediamarkt,1,02124,2124
7,The Phone House,1,05200,5200
