1,General (1),GR,1
2,Recargo de Equivalencia (2),RE,2
3,Exportaciones (3),EXPORT,3
4,Compras a CEE (4),CCEE,4
5,Ventas a CEE (5),VCEE,5
6,Inversión del sujeto pasivo (6),ISP,6
7,IVA Importación (7),IMPIVA,7
8,Importación (8),IMP,8
9,Régimen de Autofacturación (9),AUT,9
10,Exento,EXENTO,10
